TIME	TEMP
2015-1-13T0:9:31Z	3.875
2015-1-13T0:9:42Z	3.875
2015-1-13T0:9:53Z	3.875
2015-1-13T0:10:4Z	3.875
2015-1-13T0:10:15Z	3.937
2015-1-13T0:10:26Z	3.937
2015-1-13T0:10:37Z	3.875
2015-1-13T0:10:48Z	3.875
2015-1-13T0:10:59Z	3.875
2015-1-13T0:11:11Z	3.875
2015-1-13T0:11:22Z	3.812
2015-1-13T0:11:33Z	3.812
2015-1-13T0:11:44Z	3.812
2015-1-13T0:11:55Z	3.812
2015-1-13T0:12:6Z	3.812
2015-1-13T0:12:17Z	3.750
2015-1-13T0:12:28Z	3.750
2015-1-13T0:12:39Z	3.812
2015-1-13T0:12:50Z	3.875
2015-1-13T0:13:1Z	3.812
2015-1-13T0:13:12Z	3.812
2015-1-13T0:13:23Z	3.812
2015-1-13T0:13:34Z	3.812
2015-1-13T0:13:46Z	3.812
2015-1-13T0:13:57Z	3.812
2015-1-13T0:14:8Z	3.812
2015-1-13T0:14:19Z	3.812
2015-1-13T0:14:30Z	3.875
2015-1-13T0:14:41Z	3.875
2015-1-13T0:14:52Z	3.812
2015-1-13T0:15:3Z	3.812
2015-1-13T0:15:14Z	3.812
2015-1-13T0:15:25Z	3.812
2015-1-13T0:15:36Z	3.812
2015-1-13T0:15:47Z	3.812
2015-1-13T0:15:58Z	3.812
2015-1-13T0:16:9Z	3.812
2015-1-13T0:16:21Z	3.812
2015-1-13T0:16:32Z	3.812
2015-1-13T0:16:43Z	3.812
2015-1-13T0:16:54Z	3.812
2015-1-13T0:17:5Z	3.812
2015-1-13T0:17:16Z	3.812
2015-1-13T0:17:27Z	3.812
2015-1-13T0:17:38Z	3.875
2015-1-13T0:17:49Z	3.875
2015-1-13T0:18:0Z	3.875
2015-1-13T0:18:11Z	3.875
2015-1-13T0:18:22Z	3.875
2015-1-13T0:18:33Z	3.812
2015-1-13T0:18:44Z	3.812
2015-1-13T0:18:56Z	3.875
2015-1-13T0:19:7Z	3.875
2015-1-13T0:19:18Z	3.875
2015-1-13T0:19:29Z	3.875
2015-1-13T0:19:40Z	3.875
2015-1-13T0:19:51Z	3.875
2015-1-13T0:20:2Z	3.937
2015-1-13T0:20:13Z	3.937
2015-1-13T0:20:24Z	3.937
2015-1-13T0:20:35Z	3.937
2015-1-13T0:20:46Z	3.937
2015-1-13T0:20:57Z	3.937
2015-1-13T0:21:8Z	3.937
2015-1-13T0:21:19Z	3.937
2015-1-13T0:21:30Z	3.937
2015-1-13T0:21:42Z	3.937
2015-1-13T0:21:53Z	3.937
2015-1-13T0:22:4Z	3.937
2015-1-13T0:22:15Z	4.000
2015-1-13T0:22:26Z	4.000
2015-1-13T0:22:37Z	3.937
2015-1-13T0:22:48Z	3.937
2015-1-13T0:22:59Z	4.000
2015-1-13T0:23:10Z	3.937
2015-1-13T0:23:21Z	4.000
2015-1-13T0:23:32Z	4.000
2015-1-13T0:23:43Z	4.000
2015-1-13T0:23:54Z	4.000
2015-1-13T0:24:5Z	3.937
2015-1-13T0:24:17Z	4.000
2015-1-13T0:24:28Z	3.937
2015-1-13T0:24:39Z	3.937
2015-1-13T0:24:50Z	3.875
2015-1-13T0:25:1Z	3.937
2015-1-13T0:25:12Z	3.875
2015-1-13T0:25:23Z	3.875
2015-1-13T0:25:34Z	3.812
2015-1-13T0:25:45Z	3.812
2015-1-13T0:25:56Z	3.812
2015-1-13T0:26:7Z	3.812
2015-1-13T0:26:18Z	3.812
2015-1-13T0:26:29Z	3.812
2015-1-13T0:26:40Z	3.875
2015-1-13T0:26:52Z	3.875
2015-1-13T0:27:3Z	3.875
2015-1-13T0:27:14Z	3.937
2015-1-13T0:27:25Z	3.937
2015-1-13T0:27:36Z	4.000
2015-1-13T0:27:47Z	4.000
