ñÛúˆçÎíıúÌ°¸´Òù¿ñÀ´Òàƒñ…âƒ–ËòÓ´˜ñŸîÈñÈîÈúÌ– –÷úÌàƒíÌñ—ñÎúÔñÎ–™¡”í—åÔîÎ“ãí—çÔñÎ–´ñ—úÔ–´•¯·”Hello!
Measuring voltage and current with INA219 ...
BUS_V	SHUNT_MV	LOAD_V	CURRENT_MA
8.09	3.37	8.10	34.00
8.09	3.37	8.10	34.00
8.10	3.38	8.10	33.80
8.10	3.40	8.10	33.70
8.10	3.39	8.10	33.90
8.10	3.38	8.10	33.90
8.10	3.39	8.11	33.70
8.10	3.37	8.10	34.10
8.10	3.38	8.10	33.80
8.10	3.38	8.11	33.70
8.10	3.39	8.10	33.80
8.10	3.38	8.11	33.50
8.10	3.37	8.11	33.80
8.10	3.38	8.11	33.60
8.10	3.35	8.10	33.80
8.10	3.39	8.11	33.70
8.10	3.35	8.11	33.80
8.10	3.35	8.11	33.70
8.10	3.38	8.11	33.40
8.10	3.36	8.11	33.90
8.10	3.34	8.11	34.00
8.10	3.36	8.11	33.70
8.11	3.38	8.11	33.50
8.10	3.36	8.11	33.70
8.10	3.39	8.11	33.40
8.10	3.36	8.11	33.60
8.10	3.37	8.11	33.90
8.10	3.35	8.11	33.50
8.10	3.37	8.10	33.50
8.10	3.36	8.11	33.90
8.10	3.37	8.11	33.80
8.10	3.36	8.11	33.50
8.10	3.36	8.11	33.80
8.10	3.35	8.11	33.80
8.10	3.34	8.11	33.60
8.10	3.37	8.11	33.50
8.10	3.38	8.11	33.70
8.10	3.38	8.11	33.70
8.10	3.37	8.11	33.60
8.10	3.35	8.11	33.80
8.10	3.36	8.10	33.80
8.10	3.38	8.11	33.70
8.10	3.38	8.11	33.80
8.10	3.36	8.11	33.60
8.10	3.38	8.10	33.70
8.10	3.40	8.11	33.60
8.10	3.32	8.10	33.70
8.10	3.36	8.11	33.80
8.10	3.39	8.11	33.60
8.10	3.38	8.10	33.80
8.10	3.38	8.10	33.60
8.10	3.39	8.11	33.70
8.10	3.37	8.10	33.50
8.10	3.37	8.11	33.60
8.10	3.35	8.10	33.80
8.10	3.35	8.11	33.60
8.10	3.35	8.11	33.50
8.10	3.37	8.11	33.60
8.10	3.35	8.11	33.60
8.11	3.37	8.11	33.60
8.10	3.37	8.11	33.60
8.10	3.36	8.10	33.60
8.10	3.38	8.11	33.80
8.10	3.37	8.10	33.70
8.06	5.14	8.07	51.60
8.06	5.14	8.07	51.10
Connected.
Connected.

Disconnected.
